,extraction_date,round,name,club,position,fantasy_value,fantasy_position_group,minutes,man_of_match,meters_carried,defenders_beaten,offloads,tries,assists,conversions,penalties,drop_goals,scrum_wins,kick_50_22,tackles,breakdown_steals,lineout_steals,penalties_conceded,yellow_cards,red_cards,points,,
146,10/02/2025,2,H. Randall,England,Scrum-Half,11.9,Subs,,,,,,,,,,,,,,,,,,,,,
147,10/02/2025,2,E. Gailleton,France,Centre,12,Subs,,,,,,,,,,,,,,,,,,,,,
148,10/02/2025,2,F. Steward,England,Back Three,,,,,,,,,,,,,,,,,,,,,,,
149,10/02/2025,2,T. Furlong,Ireland,Prop,,,,,,,,,,,,,,,,,,,,,,,
150,10/02/2025,2,C. Murley,England,Back Three,,,,,,,,,,,,,,,,,,,,,,,
151,10/02/2025,2,S. Gesi,Italy,Back Three,,,,,,,,,,,,,,,,,,,,,,,
152,10/02/2025,2,E. Bevan,Wales,Scrum-Half,,,,,,,,,,,,,,,,,,,,,,,
153,10/02/2025,2,C. Tshiunza,Wales,Second Row,,,,,,,,,,,,,,,,,,,,,,,
154,10/02/2025,2,E. Mee,Wales,Back Three,,,,,,,,,,,,,,,,,,,,,,,
155,10/02/2025,2,J. O'Brien,Ireland,Back Three,,,,,,,,,,,,,,,,,,,,,,,
156,10/02/2025,2,M. Lucu,France,Scrum-Half,,,,,,,,,,,,,,,,,,,,,,,
157,10/02/2025,2,A. Frisch,France,Centre,,,,,,,,,,,,,,,,,,,,,,,
158,10/02/2025,2,F. Dingwall,England,Centre,,,,,,,,,,,,,,,,,,,,,,,
159,10/02/2025,2,T. Roebuck,England,Back Three,,,,,,,,,,,,,,,,,,,,,,,
160,10/02/2025,2,S. Varney,Italy,Scrum-Half,,,,,,,,,,,,,,,,,,,,,,,
161,10/02/2025,2,M. Gallagher,Italy,Back Three,,,,,,,,,,,,,,,,,,,,,,,
162,10/02/2025,2,T. Dan,England,Hooker,,,,,,,,,,,,,,,,,,,,,,,
163,10/02/2025,2,I. Henderson,Ireland,Second Row,,,,,,,,,,,,,,,,,,,,,,,
164,10/02/2025,2,O. Watkin,Wales,Centre,,,,,,,,,,,,,,,,,,,,,,,
165,10/02/2025,2,K. Rowe,Scotland,Back Three,,,,,,,,,,,,,,,,,,,,,,,
166,10/02/2025,2,G. Horne,Scotland,Scrum-Half,,,,,,,,,,,,,,,,,,,,,,,
167,10/02/2025,2,O. Smith,Scotland,Centre,,,,,,,,,,,,,,,,,,,,,,,
168,10/02/2025,2,J. Roberts,Wales,Centre,,,,,,,,,,,,,,,,,,,,,,,
169,10/02/2025,2,R. Herring,Ireland,Hooker,,,,,,,,,,,,,,,,,,,,,,,
170,10/02/2025,2,D. Cretin,France,Back Row,,,,,,,,,,,,,,,,,,,,,,,
171,10/02/2025,2,L. Crosbie,Scotland,Back Row,,,,,,,,,,,,,,,,,,,,,,,
172,10/02/2025,2,A. Reed,Scotland,Back Three,,,,,,,,,,,,,,,,,,,,,,,
